analysis,model_building_context,source_code,feature_set,resampling_condition,model,model_label,parameters_used_for_model_fitting,parameter_source,note
sample_size_stability,repeated stratified 5-fold CV stability,50_R3_09_SAMPLE_SIZE_STABILITY/50_04_repeated_cv_stability.py,submitted_rfecv36,random_undersampling_inside_training_fold,tabpfn,TabPFN,device=cpu; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
sample_size_stability,repeated stratified 5-fold CV stability,50_R3_09_SAMPLE_SIZE_STABILITY/50_04_repeated_cv_stability.py,submitted_rfecv36,random_undersampling_inside_training_fold,rf,Random Forest,max_depth=10; n_estimators=100; random_state=0,submitted undersampling CV hyperparameters reused for repeated CV stability,RandomUnderSampler(random_state=42) is applied inside each training fold before fitting.
sample_size_stability,repeated stratified 5-fold CV stability,50_R3_09_SAMPLE_SIZE_STABILITY/50_04_repeated_cv_stability.py,submitted_rfecv36,random_undersampling_inside_training_fold,xgb,XGBoost,learning_rate=0.01; max_depth=7; n_estimators=50; random_state=0; verbosity=0,submitted undersampling CV hyperparameters reused for repeated CV stability,RandomUnderSampler(random_state=42) is applied inside each training fold before fitting.
sample_size_stability,repeated stratified 5-fold CV stability,50_R3_09_SAMPLE_SIZE_STABILITY/50_04_repeated_cv_stability.py,submitted_rfecv36,random_undersampling_inside_training_fold,lgb,LightGBM,learning_rate=0.01; max_depth=5; n_estimators=100; random_state=0; verbosity=-1,submitted undersampling CV hyperparameters reused for repeated CV stability,RandomUnderSampler(random_state=42) is applied inside each training fold before fitting.
sample_size_stability,repeated stratified 5-fold CV stability,50_R3_09_SAMPLE_SIZE_STABILITY/50_04_repeated_cv_stability.py,submitted_rfecv36,random_undersampling_inside_training_fold,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=0; max_iter=5000,submitted undersampling CV hyperparameters reused for repeated CV stability,RandomUnderSampler(random_state=42) is applied inside each training fold before fitting.
sample_size_stability,repeated stratified 5-fold CV stability,50_R3_09_SAMPLE_SIZE_STABILITY/50_04_repeated_cv_stability.py,submitted_rfecv36,random_undersampling_inside_training_fold,ridge_logistic,Ridge Logistic Regression,"StandardScaler(); LogisticRegressionCV(Cs=np.logspace(-4,4,9), penalty=l2, solver=lbfgs, scoring=neg_log_loss, class_weight=None, random_state=123, max_iter=5000, n_jobs=1, refit=True)",repeated CV stability code,C is selected internally within each training fold by LogisticRegressionCV.
