analysis,model_building_context,source_code,feature_set,resampling_condition,model,model_label,parameters_used_for_model_fitting,parameter_source,note
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,no_undersampling,lgb,LightGBM,learning_rate=0.01; max_depth=5; n_estimators=50; random_state=123; verbosity=-1,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,random_undersampling,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123; max_iter=5000,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,random_undersampling,rf,Random Forest,max_depth=10; n_estimators=100; random_state=123,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,random_undersampling,xgb,XGBoost,learning_rate=0.1; max_depth=7; n_estimators=50; random_state=123; verbosity=0,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,random_undersampling,lgb,LightGBM,learning_rate=0.01; max_depth=5; n_estimators=100; random_state=123; verbosity=-1,grid search within this analysis,
feature_selection_sensitivity,feature-set sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,no_undersampling,tabpfn,TabPFN,device=cpu; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
feature_selection_sensitivity,ridge logistic sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,no_undersampling,ridge_logistic,Ridge Logistic Regression,"StandardScaler(); LogisticRegressionCV(Cs=np.logspace(-4,4,9), penalty=l2, solver=lbfgs, scoring=neg_log_loss, class_weight=None, random_state=123, max_iter=5000, n_jobs=1, refit=True)",ridge logistic sensitivity code,C is selected internally within each training set by LogisticRegressionCV.
feature_selection_sensitivity,feature-set sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,random_undersampling,tabpfn,TabPFN,device=cpu; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
feature_selection_sensitivity,ridge logistic sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,random_undersampling,ridge_logistic,Ridge Logistic Regression,"StandardScaler(); LogisticRegressionCV(Cs=np.logspace(-4,4,9), penalty=l2, solver=lbfgs, scoring=neg_log_loss, class_weight=None, random_state=123, max_iter=5000, n_jobs=1, refit=True)",ridge logistic sensitivity code,C is selected internally within each training set by LogisticRegressionCV.
feature_selection_sensitivity,feature-set sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,no_undersampling,tabpfn,TabPFN,device=cpu; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
feature_selection_sensitivity,ridge logistic sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,no_undersampling,ridge_logistic,Ridge Logistic Regression,"StandardScaler(); LogisticRegressionCV(Cs=np.logspace(-4,4,9), penalty=l2, solver=lbfgs, scoring=neg_log_loss, class_weight=None, random_state=123, max_iter=5000, n_jobs=1, refit=True)",ridge logistic sensitivity code,C is selected internally within each training set by LogisticRegressionCV.
feature_selection_sensitivity,feature-set sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,random_undersampling,tabpfn,TabPFN,device=cpu; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
feature_selection_sensitivity,ridge logistic sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,random_undersampling,ridge_logistic,Ridge Logistic Regression,"StandardScaler(); LogisticRegressionCV(Cs=np.logspace(-4,4,9), penalty=l2, solver=lbfgs, scoring=neg_log_loss, class_weight=None, random_state=123, max_iter=5000, n_jobs=1, refit=True)",ridge logistic sensitivity code,C is selected internally within each training set by LogisticRegressionCV.
feature_selection_sensitivity,feature-set sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,no_undersampling,tabpfn,TabPFN,device=cpu; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
feature_selection_sensitivity,ridge logistic sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,no_undersampling,ridge_logistic,Ridge Logistic Regression,"StandardScaler(); LogisticRegressionCV(Cs=np.logspace(-4,4,9), penalty=l2, solver=lbfgs, scoring=neg_log_loss, class_weight=None, random_state=123, max_iter=5000, n_jobs=1, refit=True)",ridge logistic sensitivity code,C is selected internally within each training set by LogisticRegressionCV.
feature_selection_sensitivity,feature-set sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,random_undersampling,tabpfn,TabPFN,device=cpu; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
feature_selection_sensitivity,ridge logistic sensitivity model fitting,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,random_undersampling,ridge_logistic,Ridge Logistic Regression,"StandardScaler(); LogisticRegressionCV(Cs=np.logspace(-4,4,9), penalty=l2, solver=lbfgs, scoring=neg_log_loss, class_weight=None, random_state=123, max_iter=5000, n_jobs=1, refit=True)",ridge logistic sensitivity code,C is selected internally within each training set by LogisticRegressionCV.
